t,s1_ax,s1_ay,s1_az,s1_gx,s1_gy,s1_gz,s2_ax,s2_ay,s2_az,s2_gx,s2_gy,s2_gz,s3_ax,s3_ay,s3_az,s3_gx,s3_gy,s3_gz,s4_ax,s4_ay,s4_az,s4_gx,s4_gy,s4_gz
0.0,2.2999096,-5.963752,-7.4465685,-0.0023736225,-0.006572049,0.003928976,-3.2592883,-5.358299,-7.5621505,0.0045714127,-0.008097096,0.0059140483,-7.811862,-5.1541953,-2.898471,0.0034271902,-0.0065023554,-0.007130145,8.768681,-4.314436,0.2164621,0.0013971688,-0.0031515867,-0.010023356
0.01923077,2.2922683,-5.9266005,-7.3926067,-0.013234998,-0.012986191,0.0063290135,-3.2710145,-5.312184,-7.5743685,-0.005293306,-0.0022980496,0.0011921005,-7.7939706,-5.1333456,-2.9383733,-0.00509931,0.0018004955,-0.0021573475,8.802497,-4.3326917,0.24620229,0.0010566133,-0.012100504,-0.003368761
0.03846154,2.2985275,-5.930403,-7.43642,0.0037727244,-0.0035565302,0.0020751394,-3.2632859,-5.264941,-7.5768995,0.0026364073,-0.0064787273,-0.0061298977,-7.8040495,-5.182003,-2.9080842,-0.0055351853,0.005736036,-0.0049054627,8.772238,-4.3412232,0.19962554,-0.0041511995,-0.0011749589,-0.0047817924
0.057692308,2.3024223,-5.971417,-7.4182177,0.006977875,0.004291403,0.0181096,-3.2513618,-5.3397655,-7.5538054,0.0007100976,-0.0034908643,-0.012514615,-7.8199267,-5.2199364,-2.9622808,0.0052260184,-0.005770753,-0.004847903,8.806598,-4.3382683,0.23097849,-0.0071336105,0.018858636,-0.020528462
0.07692308,2.274727,-5.959527,-7.446381,0.00043590373,-0.008680642,0.008335257,-3.240736,-5.3301406,-7.543717,0.006340635,0.0006694349,-0.0033097968,-7.8485417,-5.1548324,-2.9492962,0.0036924365,0.006229559,-0.004153093,8.771833,-4.3342714,0.21228474,-0.011677133,-0.0023131648,0.0013425243
0.09615385,2.3099198,-5.99368,-7.441018,-0.0060307775,-0.010323426,0.01438487,-3.2969306,-5.326824,-7.548234,-0.00145774,0.0041891253,0.00042870722,-7.788336,-5.1551633,-2.9189978,0.0016615505,0.00022352819,-0.004186931,8.803507,-4.3690376,0.22009504,-0.005493042,0.0038685864,-0.011229858
0.115384616,2.3000908,-5.949509,-7.425149,-0.00034346659,-0.01513586,0.0038831905,-3.3049855,-5.306248,-7.573208,0.0042528217,-0.005284071,-0.00062715216,-7.8090014,-5.130745,-2.8814938,0.0153167825,0.0013941356,-0.0032694328,8.812298,-4.3372407,0.21066691,0.00062628323,-0.0028101322,-0.01518939
0.13461539,2.294746,-5.965259,-7.4418526,-0.009461603,-0.0123838885,0.00869599,-3.3077295,-5.349724,-7.5877347,0.0080148615,0.0014955306,0.0033172648,-7.8115325,-5.1078196,-2.8663225,-0.008853614,0.0056891795,-0.0029804579,8.818244,-4.338487,0.229411,-0.01651044,-0.00096645043,-0.0066399802
0.15384616,2.3154554,-5.961048,-7.446956,0.0067582694,-0.016615724,-0.0029221268,-3.3006272,-5.319192,-7.571699,0.0024153318,-0.008587378,-0.00475453,-7.8124557,-5.1959524,-2.970267,-0.0007992732,-0.0059372084,-0.0063532563,8.767645,-4.333216,0.24815637,-0.014188425,-0.0031262028,-0.00060852955
0.17307693,2.294894,-5.930275,-7.4794483,-0.0039755567,-0.010226808,0.013290175,-3.2647083,-5.3369694,-7.5853534,0.00079685444,-0.014245205,0.013928227,-7.8109775,-5.2151194,-2.9606543,-1.8353592e-05,-0.007216862,-0.015191363,8.762595,-4.3601904,0.25138852,-0.011794002,0.00030182677,-0.0118035795
